customer_id,customer_name,contact_number,email,address,created_at
1,Dillon Maudling,(907) 660-1423,dillon.maudling@hotmail.com,"10239 Oracle Court, Anchorage, Alaska, United States, 99507",2024-01-29 12:51:07
2,Siusan Peplay,(907) 241-2703,siusan.peplay@hotmail.de,"2270 Melendez Way, Anchorage, Alaska, United States, 99512",2024-01-29 12:54:36
3,Fayina Wealleans,(907) 348-7534,fayina.wealleans@hotmail.com,"2136 Las Cruces Court, Anchorage, Alaska, United States, 99517",2024-01-29 13:03:56
4,Cole Clemmens,(907) 462-0450,cole.clemmens@yahoo.com.au,"9914 Rio Grande Avenue, Anchorage, Alaska, United States, 99522",2024-01-29 13:11:49
5,Rhett Lindfors,(907) 449-9773,rhett.lindfors@rocketmail.com,"9211 Oswego Lane, Anchorage, Alaska, United States, 99599",2024-01-29 13:13:48
6,Lark Bresnen,(907) 602-3397,lark.bresnen@gmail.com,"11485 Margaux Trail, Fairbanks, Alaska, United States, 99709",2024-01-29 13:17:15
7,Isa Wark,(907) 847-6859,isa.wark@yahoo.com,"7371 Salmon Brook Lane, Fairbanks, Alaska, United States, 99790",2024-01-29 13:22:27
8,Alaine Townsend,(907) 219-1261,alaine.townsend@free.fr,"4056 Del Toro Drive, Juneau, Alaska, United States, 99812",2024-01-29 13:29:20
9,Zandra Varnes,(256) 086-6703,zandra.varnes@yahoo.com,"3632 Tenerife Lane, Anniston, Alabama, United States, 36205",2024-01-29 13:32:09
10,Corinna Dulling,(205) 168-7600,corinna.dulling@gmail.com,"8007 Elwick Lane, Birmingham, Alabama, United States, 35205",2024-01-29 13:35:11
11,Ike Corriea,(334) 449-3208,ike.corriea@aol.com,"10397 Parlor Place, Birmingham, Alabama, United States, 35210",2024-01-29 13:38:42
12,Burch Inchcomb,(205) 018-6027,burch.inchcomb@live.it,"1650 Harding Path, Birmingham, Alabama, United States, 35215",2024-01-29 13:41:42
13,Hinda Miles,(205) 591-5707,hinda.miles@yahoo.com,"11303 Sutton Terrace, Birmingham, Alabama, United States, 35220",2024-01-29 13:47:19
14,Mickey Sleford,(205) 200-2518,mickey.sleford@gmail.com,"5232 Ipswitch Street, Birmingham, Alabama, United States, 35225",2024-01-29 13:52:21
15,Celestine Fuller,(205) 814-2819,celestine.fuller@hotmail.com,"11621 Tara Terrace, Birmingham, Alabama, United States, 35231",2024-01-29 13:58:40
16,Karole Revie,(205) 088-2211,karole.revie@gmail.com,"2335 Botner Drive, Birmingham, Alabama, United States, 35236",2024-01-29 14:08:29
17,Iona Bone,(205) 395-8287,iona.bone@msn.com,"676 Frank DiPietro Drive, Birmingham, Alabama, United States, 35244",2024-01-29 14:10:41
18,Arty O' Hanvey,(205) 269-4013,arty.ohanvey@laposte.net,"6946 Lunsford Lane, Birmingham, Alabama, United States, 35254",2024-01-29 14:18:53
19,Waiter Huller,(205) 753-3606,waiter.huller@aol.com,"10335 Godinez Court, Birmingham, Alabama, United States, 35263",2024-01-29 14:27:04
20,Adelbert Daffern,(205) 202-8817,adelbert.daffern@yahoo.com,"13347 Longbow Trail, Birmingham, Alabama, United States, 35279",2024-01-29 14:31:54
21,Juan Dignan,(205) 584-6112,juan.dignan@yahoo.fr,"3742 Plumosa Court, Birmingham, Alabama, United States, 35285",2024-01-29 14:35:41
22,Roseline Lewzey,(205) 417-8812,roseline.lewzey@hotmail.fr,"14662 Altair Path, Birmingham, Alabama, United States, 35290",2024-01-29 14:40:44
23,Iggy Loughrey,(205) 913-9882,iggy.loughrey@msn.com,"6747 Olivarez Way, Birmingham, Alabama, United States, 35295",2024-01-29 14:43:07
24,Magdaia Crocket,(205) 549-3303,magdaia.crocket@hotmail.com,"8803 Cumbaa Court, Birmingham, Alabama, United States, 35242",2024-01-29 14:50:25
