employee_id,employee_name,emp_contact_number,emp_role,avg_rating,created_at
1,Adan Holdren,(907) 360-1875,Kitchen Porter,4,2024-01-29 12:51:07
2,Roseline Janous,(907) 048-3019,Sous Chef,3,2024-01-29 12:52:16
3,Anita Korneluk,(907) 112-5571,Chef,0,2024-01-29 12:53:51
4,Brittney Wulfinger,(907) 929-2663,Waiter,3,2024-01-29 12:59:58
5,Wenona Morteo,(907) 009-5830,Host,4,2024-01-29 13:03:15
6,Fulvia Baike,(907) 651-9161,Kitchen Porter,4,2024-01-29 13:07:41
7,Hammad Conachie,(907) 415-2964,Manager,1,2024-01-29 13:15:55
8,Frank Morad,(907) 447-8638,Security,3,2024-01-29 13:22:19
9,Karrie Fearn,(256) 106-8376,Cleaner,0,2024-01-29 13:29:48
10,Otho Claisse,(205) 683-2623,Sommelier,0,2024-01-29 13:37:59
11,Gill Siggin,(205) 487-6532,Security,2,2024-01-29 13:45:00
12,Albina Hundy,(205) 335-6102,Sous Chef,2,2024-01-29 13:48:41
13,Haven De Paoli,(205) 724-7366,Cashier,4,2024-01-29 13:58:40
14,Kara Corben,(205) 142-8495,Delivery,3,2024-01-29 14:01:23
15,Tamara Plitz,(205) 552-8462,Cleaner,0,2024-01-29 14:10:58
16,Abbie Lewty,(205) 377-8979,Cashier,4,2024-01-29 14:15:59
17,Maryrose Brugmann,(205) 279-6891,Manager,2,2024-01-29 14:25:42
18,Erastus Greenhouse,(205) 853-0175,Sommelier,3,2024-01-29 14:29:33
19,Beatrix Wainscoat,(205) 826-8934,Bartender,4,2024-01-29 14:33:58
20,Loni Piatti,(205) 479-2880,Waiter,2,2024-01-29 14:39:29
21,Debor Walasik,(205) 567-1071,Dishwasher,0,2024-01-29 14:46:32
22,Horatius Bushrod,(205) 891-4719,Security,4,2024-01-29 14:50:38
23,Leigh Hook,(205) 093-8719,Host,2,2024-01-29 15:00:11
24,Kally Charker,(205) 889-8158,Bartender,1,2024-01-29 15:03:02
25,Ikey Maddick,(256) 932-8530,Pastry Chef,3,2024-01-29 15:05:02
26,Dougie Cracie,(256) 698-9626,Security,0,2024-01-29 15:06:55
27,Anthe Favelle,(256) 865-5595,Kitchen Porter,1,2024-01-29 15:09:47
28,Idalina Plaschke,(256) 433-9534,Kitchen Porter,4,2024-01-29 15:18:35
29,Minda Gurnett,(256) 663-1376,Kitchen Porter,1,2024-01-29 15:23:27
30,Codi D'Antoni,(251) 191-0674,Reception,3,2024-01-29 15:26:52
31,Clareta Crocroft,(251) 069-1329,Cleaner,4,2024-01-29 15:32:48
32,Mandie Britee,(251) 469-3246,Bartender,2,2024-01-29 15:39:55
33,Blisse Harbert,(251) 118-2189,Security,1,2024-01-29 15:49:31
34,Nolana Blaschek,(251) 383-8228,Cashier,2,2024-01-29 15:57:51
35,Camella Stagge,(251) 672-9694,Kitchen Porter,0,2024-01-29 16:03:15
36,Jacquette Glenny,(251) 297-6338,Chef,4,2024-01-29 16:10:40
37,Harp Kusick,(251) 583-8465,Dishwasher,1,2024-01-29 16:14:15
38,Leanora Prewett,(334) 998-7556,Chef,0,2024-01-29 16:20:24
39,Marlo Zini,(334) 012-1474,Delivery,4,2024-01-29 16:22:26
40,Giorgia Igounet,(334) 807-5518,Manager,0,2024-01-29 16:29:48
41,Alec Garm,(334) 685-2120,Chef,3,2024-01-29 16:32:30
42,Christi Karlolczak,(334) 964-2488,Chef,3,2024-01-29 16:37:22
43,Zenia Kittow,(334) 295-7699,Cashier,3,2024-01-29 16:44:28
44,Jayson Millward,(334) 554-3857,Host,1,2024-01-29 16:48:19
45,Vasili Renvoys,(334) 494-0527,Reception,0,2024-01-29 16:57:26
46,Ashia Sedgmond,(205) 649-0227,Sommelier,4,2024-01-29 17:00:23
47,Rick Need,(205) 755-7924,Security,4,2024-01-29 17:02:03
48,Jewelle Lewry,(479) 858-5490,Waiter,0,2024-01-29 17:05:51
49,Derrick Zarfai,(479) 900-0213,Dishwasher,3,2024-01-29 17:15:28
50,Danyelle Dagwell,(501) 421-2065,Host,2,2024-01-29 17:22:10
51,Christin Hammer,(501) 675-9998,Delivery,4,2024-01-29 17:29:59
52,Dee Fyndon,(501) 596-3140,Delivery,0,2024-01-29 17:31:22
53,Esme Bodycote,(501) 289-6886,Cleaner,1,2024-01-29 17:35:44
54,Geri Pentin,(501) 270-8255,Sommelier,3,2024-01-29 17:37:54
55,Mandel Varvell,(501) 182-1773,Sommelier,4,2024-01-29 17:43:28
56,Tabby Meriet,(501) 536-3129,Kitchen Porter,1,2024-01-29 17:50:37
57,Clementius Branston,(501) 012-9119,Pastry Chef,2,2024-01-29 17:54:33
58,Thor MacDonogh,(480) 842-3593,Kitchen Porter,2,2024-01-29 18:03:52
59,Linell Leyshon,(602) 261-6074,Manager,2,2024-01-29 18:10:50
60,Daphene Micheu,(602) 903-3403,Sous Chef,3,2024-01-29 18:14:44
61,Clare Maevela,(602) 587-6070,Pastry Chef,0,2024-01-29 18:23:25
62,Zacharia Bow,(602) 859-6396,Reception,0,2024-01-29 18:25:44
63,Dottie Cabell,(480) 715-7400,Waiter,1,2024-01-29 18:29:12
64,Amalie Choffin,(928) 913-2073,Reception,3,2024-01-29 18:35:26
65,Rudolph Chimes,(602) 398-7554,Reception,3,2024-01-29 18:40:58
66,Hortense Duckinfield,(928) 997-6670,Host,0,2024-01-29 18:43:42
67,Gaelan Vyvyan,(602) 609-8553,Bartender,2,2024-01-29 18:47:56
68,Zach Blackadder,(602) 043-3071,Manager,4,2024-01-29 18:55:00
69,Carey Syres,(623) 028-9166,Dishwasher,3,2024-01-29 19:01:43
70,Maud Grishankov,(623) 830-5454,Sommelier,1,2024-01-29 19:10:43
71,Vannie Macek,(928) 770-4380,Kitchen Porter,1,2024-01-29 19:19:29
72,Fitzgerald Limprecht,(602) 812-6630,Dishwasher,2,2024-01-29 19:26:06
73,Winfred Heugle,(623) 822-5436,Delivery,1,2024-01-29 19:35:07
74,Elmore Perryn,(602) 532-0720,Bartender,1,2024-01-29 19:43:32
75,Nels Dominey,(480) 069-0480,Chef,0,2024-01-29 19:47:39
76,Sancho Matushenko,(602) 117-9044,Cashier,1,2024-01-29 19:49:15
77,Joby Isaacs,(602) 360-7398,Pastry Chef,2,2024-01-29 19:52:48
78,Jacqueline Geffe,(602) 435-8032,Chef,2,2024-01-29 20:01:43
79,Amalita Schiell,(602) 947-5481,Chef,4,2024-01-29 20:09:23
80,Elfreda Cettell,(602) 853-1654,Host,2,2024-01-29 20:18:35
81,Cecelia Hessle,(602) 650-0688,Chef,2,2024-01-29 20:24:16
